State,Total,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85+
Alabama,4447100,295992,315345,320252,324580,306865,301196,301819,340300,345212,315173,285036,225450,190082,167968,148780,118108,77641,67301
Alaska,626932,47591,53771,56661,50094,39892,42987,46486,55723,58326,53515,41437,27423,17327,12626,9881,6863,3695,2634
Arizona,5130632,382386,389869,378211,367722,362860,374106,368559,392687,376117,331903,296001,238675,203697,189007,174834,144201,91272,68525
Arkansas,2673400,181585,187224,192935,198765,181598,176674,176171,200340,197787,181913,167606,139393,117390,105175,93159,76517,52676,46492
California,33871648,2486981,2725880,2570822,2450888,2381288,2543541,2685521,2814743,2670598,2331792,1999843,1467252,1146841,984535,903288,779347,502831,425657
Colorado,4301261,297505,308428,311497,307238,306238,331795,332232,366092,370731,334855,279270,194722,144585,121222,105088,85922,55625,48216
Connecticut,3405565,223344,244144,241587,216627,187571,201467,250173,290866,290183,252754,228053,176961,131652,117556,114009,101096,73249,64273
Delaware,783600,51531,55813,55274,55632,51665,51219,57621,64654,62947,54775,49224,39320,32199,29952,26463,21248,13514,10549
District of Columbia,572059,32536,35385,30018,37867,51823,52849,48913,45949,41728,39397,35913,27803,21980,18525,17394,14976,10028,8975
Florida,15982378,945823,1031718,1057024,1014067,928310,995358,1088742,1261040,1224207,1085400,984079,821517,737496,727495,724681,616693,407441,331287
Georgia,8186453,595150,615584,607759,596277,592196,641750,657506,698735,654773,573017,506975,375651,285805,236634,199061,157569,104154,87857
Hawaii,1211537,78163,84980,83106,81002,83409,84000,87159,95935,95242,90404,80575,60561,46400,42847,42415,35386,22389,17564
Idaho,1293953,97643,100756,104608,110858,93994,85128,84305,94913,98055,92172,78076,60024,47505,40169,35801,30443,21446,18057
Illinois,12419293,876549,929858,905097,894002,850843,891759,919915,996886,986984,873812,752930,577747,462886,397443,374804,316948,218799,192031
Indiana,6080485,423215,443273,443416,453482,425731,409035,422090,478207,482496,437122,379743,294169,235675,203737,191656,159833,106047,91558
Iowa,2926324,188413,202603,210547,226420,203663,177259,185801,217897,227302,212663,180131,139052,118360,107373,104562,91505,67655,65118
Kansas,2688418,188708,195574,204018,210118,190167,172975,175878,207549,212802,192679,161468,121645,98608,90085,85831,75125,53418,51770
Kentucky,4041769,265901,279258,279481,289004,283032,281134,286974,321931,320734,293976,262956,204483,168112,144671,129272,104760,67829,58261
Louisiana,4468976,317392,336780,347912,365945,325571,296161,305001,343128,348838,315768,270503,208761,170287,148004,134921,106823,68505,58676
Maine,1274923,70726,83022,92252,89485,69656,71951,85666,104149,108831,101921,90675,68490,54697,50100,46096,38098,25792,23316
Maryland,5296486,353393,391318,392135,356119,314129,342870,405651,464788,451368,399390,355642,268647,201729,168242,153043,128491,82629,66902
Massachusetts,6349097,397268,430861,431247,415737,404279,434024,492764,540593,522402,461945,411408,310002,236405,216498,211332,184941,130699,116692
Michigan,9938444,672005,745181,747012,719867,643839,654629,707542,787367,811006,734905,633034,485895,377144,328835,314045,260144,173534,142460
Minnesota,4919479,329594,355894,374995,374362,322483,319826,353312,412490,411692,364247,301449,226857,178012,153169,142656,122677,90163,85601
Mississippi,2844658,204364,216920,218742,233188,212947,192526,189272,212309,213063,192111,169870,132202,113621,98179,87531,68558,46364,42891
Missouri,5595211,369898,398898,412080,413296,369498,362305,376428,443250,444319,395616,346846,279073,228325,205372,187854,157207,106375,98571
Montana,902195,54869,61963,69298,71310,58379,51104,52175,66580,75361,73398,61690,47174,37945,32541,29978,24703,18390,15337
Nebraska,1711263,117048,123445,128934,134909,120331,112049,111224,130027,133807,122714,103040,77584,63956,59391,56308,47991,34552,33953
Nevada,1998257,145817,149322,139193,127169,130006,148726,157885,165910,156051,140214,128836,105057,85142,71387,60388,44851,25314,16989
New Hampshire,1235786,75685,88537,93255,86688,68766,71355,88706,109654,111525,98117,85869,62664,46995,41143,37184,30593,20819,18231
New Jersey,8414350,563785,604529,590577,525216,480079,544917,644123,727924,707182,611357,547541,423338,330646,293196,281473,240131,162337,135999
New Mexico,1819046,130628,141171,147309,145751,121291,115387,118704,140378,141631,131000,114819,87140,71612,63227,54518,43729,27445,23306
New York,18976457,1239417,1351857,1332433,1287544,1244309,1304725,1452599,1566083,1508215,1341138,1211798,932008,755979,657600,618446,514132,346686,311488
North Carolina,8049313,539509,562553,551367,539931,577508,601522,611893,655440,631680,570411,514739,400207,323505,282836,250941,201444,128366,105461
North Dakota,642200,39400,42982,47464,53618,50503,38792,38095,46991,51013,47436,37995,28926,24507,23142,22759,19085,14766,14726
Ohio,11353140,754930,816346,827811,816868,728928,735582,784312,883771,921545,834831,731553,553174,455732,402668,387584,325468,215241,176796
Oklahoma,3450654,236353,244525,252029,269373,247165,229026,222621,259131,264391,240805,212956,173199,143130,128756,113743,94068,62208,57175
Oregon,3421399,223005,234474,242098,244427,230406,233850,236845,255751,270823,271315,235840,173008,131380,112614,106728,95059,66345,57431
Pennsylvania,12281054,727804,827945,863849,850986,746086,732701,827785,951400,996676,908650,796382,619969,511656,480656,488616,422311,290015,237567
Rhode Island,1048319,63896,71905,71370,75445,71813,64732,75594,85364,84946,75429,66434,49982,39007,36023,37661,34076,23745,20897
South Carolina,4012012,264679,285243,290479,295377,281714,276855,283976,314558,310566,287778,262543,206762,166149,145599,124449,101445,63571,50269
South Dakota,754844,51069,54486,59463,62463,52802,45084,45929,56587,58799,53865,43817,33611,28738,27126,26003,22520,16396,16086
Tennessee,5689283,374880,395813,395155,395184,386345,403829,412072,453327,449200,412704,374212,293942,239309,204571,178281,144848,94146,81465
Texas,20851820,1624628,1654184,1631192,1636232,1539404,1591522,1570561,1688883,1633355,1416178,1194959,896521,701669,610432,532176,424034,267950,237940
Utah,2233169,209378,193033,192288,216278,225152,178474,148590,150695,148841,131665,106045,80053,62455,53734,47814,39745,27178,21751
Vermont,608827,33989,41101,45397,45770,37852,34182,40385,49376,52513,50107,43725,32603,24317,21126,19557,15930,10901,9996
Virginia,7078515,461982,495084,495955,484065,480574,497172,539793,610810,589880,526221,473035,358442,273169,229553,202903,166178,106433,87266
Washington,5894121,394306,425909,434836,427968,390185,403652,437478,483950,491137,454223,391749,285505,211075,176225,160941,142708,98189,84085
West Virginia,1808344,101805,111150,116182,125578,120109,113577,115517,129816,142433,141229,129237,98916,85900,75863,72600,58802,37851,31779
Wisconsin,5363675,342340,379484,403074,407195,357292,333913,372255,435255,440267,397693,334613,252742,204999,182119,173188,146675,104946,95625
Wyoming,493782,30940,34127,38376,41903,33455,30084,29770,36482,42283,40701,33378,24935,19655,16598,14745,11808,7807,6735
Puerto Rico,3808610,295406,305162,305800,313436,301191,271507,262825,264849,250814,233120,229916,188883,160564,134281,106670,83078,53402,47706
