State,Total,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85+
Kentucky,3685296,250871,265457,275287,285161,277307,301293,308826,288609,260454,206883,175483,162821,159999,150972,117254,92163,60089,46367
Louisiana,4219973,334650,358365,342455,332140,324170,345375,358547,326787,279149,221362,185078,171927,170977,155859,119149,91394,58956,43633
Maine,1227928,85722,88506,84579,87927,86040,98773,106462,101866,91479,69043,55708,54216,54234,50835,40765,31701,21846,18226
Maryland,4781468,357818,332373,297164,310650,369609,449196,450902,406998,370008,293234,228567,202170,195297,180204,134287,96328,60167,46496
Massachusetts,6016425,412473,378035,348093,409934,513639,556920,544441,484393,434063,336669,263426,253458,261597,252266,207615,160309,106885,92209
Michigan,9295297,702554,692247,666370,696803,705318,764262,810291,749062,657087,523730,424389,392787,401936,369111,286727,212494,133222,106907
Minnesota,4375099,336800,345840,313297,297609,316046,381759,397984,361274,304810,237050,191410,173066,171220,160036,134486,108433,75144,68835
Mississippi,2573216,195365,211918,213305,222879,196640,197740,202280,185402,164162,131627,116118,107784,106712,99777,80372,65389,43411,32335
Missouri,5117073,369244,378850,360481,362817,360625,420001,432041,389625,345146,284337,238840,228556,228829,218973,175229,143185,99077,81217
Montana,799065,59257,65377,62899,56813,47769,56111,66959,68172,58584,45133,37173,34005,34316,32496,28388,21408,13529,10676
Nebraska,1578385,119606,126401,117383,112860,108649,125218,131990,123778,105034,80668,68721,67281,67728,64063,53580,44225,31998,29202
Nevada,1201833,92217,85562,76008,74160,87946,110583,111444,101268,90997,74228,61772,54681,53336,50112,35673,22564,11819,7463
New Hampshire,1109252,84565,80641,71725,76464,82962,98662,106161,96722,85910,63908,48307,44703,43493,39753,31718,24016,16256,13286
New Jersey,7730188,532637,493044,480983,505388,566594,668917,691734,622963,573696,466481,376528,355677,363521,340232,269960,201441,124845,95547
New Mexico,1515069,125878,131059,121632,113938,106058,126083,130666,121963,105754,80790,66658,62038,59490,55478,42129,31723,19500,14232
New York,17990455,1255764,1178006,1140177,1230127,1408899,1564617,1573571,1426461,1298224,1042317,871603,811857,825110,755342,592937,461880,305390,248173
North Carolina,6628637,458955,439621,436840,497830,553956,572875,571000,527924,479687,381727,316978,295739,291164,274530,208575,155430,95837,69969
North Dakota,638800,47845,52032,48820,46668,47873,50154,53861,50133,39887,30635,26449,26268,27120,24950,22591,18990,13284,11240
Ohio,10847115,785149,795135,766822,793919,795137,868564,926624,853477,762378,599373,514070,482526,496980,466113,361915,268897,172006,138030
Oklahoma,3145585,226523,244122,231892,233093,222766,248609,260710,239543,212698,175218,147757,141214,137227,131555,103580,84855,58375,45848
Oregon,2842321,201421,209775,201365,189955,189142,211981,239563,251195,223656,167378,129217,116011,120338,122912,101526,78546,49525,38815
Pennsylvania,11881643,797058,788301,755161,818058,863007,920217,992239,923018,821849,656083,557762,552378,607406,590557,479464,361306,225943,171836
Rhode Island,1003464,66969,63731,59406,70862,85080,85852,87772,78576,69041,53383,43042,42077,47126,47210,38406,29669,19246,16016
South Carolina,3486703,256337,256076,253719,277634,282967,296764,294584,275683,247612,196103,159507,148762,144020,140455,105850,74914,44967,30749
South Dakota,696004,54504,58795,55437,50571,47268,53143,56270,52526,42690,33527,29142,29218,30582,29466,25005,20307,14210,13343
Tennessee,4877185,333415,337368,339098,366566,367812,402977,409344,386327,354661,286553,239657,220952,213637,200986,156437,122539,80062,58794
Texas,16986510,1390054,1396173,1294353,1311691,1334412,1532740,1553431,1372521,1166504,906582,722052,661590,627831,571269,426970,334014,217718,166605
Utah,1722850,169633,183674,183846,152455,137822,137321,137577,124209,100463,77148,61333,54930,52481,48676,39511,29266,18894,13611
Vermont,562758,41261,41789,37990,41699,43510,45261,49996,49057,43375,32650,24739,22787,22481,20618,16454,12825,8743,7523
Virginia,6187358,443155,424361,398531,438556,519866,574241,566447,518258,473498,371997,291335,257207,245436,228730,171892,125298,78841,59709
Washington,4866692,366780,371093,337662,322711,351680,411822,443366,427690,376073,284674,216869,191602,189382,186679,149355,112448,70505,56301
West Virginia,1793477,106659,119874,134813,142055,120167,122144,139559,141183,129921,101371,89947,85265,91622,87215,68528,53708,33995,25451
Wisconsin,4891769,360730,376303,353587,347289,363399,401345,420870,389508,335109,260504,218378,204647,208879,195309,163110,131296,87213,74293
Wyoming,453588,34780,40617,38917,34807,27790,33268,41028,40914,33285,25266,20231,17893,17597,15719,12040,9107,5779,4550
