State,Total,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85+
United States,248709873,18354443,18099179,17114249,17754015,19020312,21313045,21862887,19963117,17615786,13872573,11350513,10531756,10616167,10111735,7994823,6121369,3933739,3080165
Alabama,4040587,283295,293587,299413,320426,305402,319562,328918,305847,277740,224862,194559,183677,180310,168309,132909,105571,67693,48507
Alaska,550043,54897,51736,43179,37151,41228,53341,59624,57768,45329,32117,21812,16595,12897,9626,5922,3639,1931,1251
Arizona,3665228,292859,281733,258364,260922,279921,318048,316851,282765,245943,192571,156945,146658,152874,160163,129881,94769,56244,37717
Arkansas,2350725,164667,175051,176097,179622,162750,179036,180009,169649,157054,132085,111252,105811,107584,106650,89311,71560,47321,35216
California,29760021,2397715,2223982,1977343,2053148,2510794,2854057,2832314,2500949,2138372,1620528,1282041,1133907,1099319,1055174,802047,601809,377415,299107
Colorado,3294394,252893,253197,227289,224962,238450,289598,322251,306058,262029,190203,146468,130193,121360,111246,83281,61855,40108,32953
Connecticut,3287116,228356,209005,194372,211580,251701,287691,296191,265767,245229,200239,155803,147022,148253,140359,115878,87354,55323,46993
Delaware,666168,48824,46949,43055,46306,54440,59286,59829,52283,46583,37488,30626,29861,29903,28474,21122,14814,9183,7142
District of Columbia,606900,37351,31997,29318,41277,59707,63129,58147,51399,43797,33872,28159,25441,25459,24841,19712,15662,9785,7847
Florida,12937926,849596,814118,748355,799279,870546,1052106,1064138,957428,853728,697323,594288,588552,679038,741225,628427,485393,304276,210110
Georgia,6478216,495535,483952,466614,497152,522634,589952,584944,531619,484079,374918,294033,259735,238779,218078,169973,128526,80449,57244
Hawaii,1108229,83223,80907,73896,72491,90794,100178,100518,95782,82557,61963,46812,45375,48728,45584,33069,22694,13261,10397
Idaho,1006749,80193,90043,90186,80438,65792,72067,80733,79894,69274,54547,44360,39407,38550,37986,31769,24529,15583,11398
Illinois,11430602,848141,836619,796468,818001,860087,984090,1009095,906929,793215,636487,530240,485581,489104,455752,366188,284280,182776,147549
Indiana,5544159,398656,410463,406513,427579,417635,448076,467033,433963,385198,311088,259703,239692,242364,225935,176106,134740,87664,71751
Iowa,2776755,193203,209338,204217,199416,196419,206616,222003,212120,183201,146052,128376,122335,127353,122454,104507,84486,59404,55255
Kansas,2477574,188390,195981,179473,172176,180087,201424,211749,195812,165514,128598,106790,103821,105188,101421,83243,67620,48046,42241
