State,Total,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85+
United States,179323175,20320901,18691780,16773492,13219243,10800761,10869124,11949186,12481109,11600243,10879485,9605954,8429865,7142452,6257910,4738932,3053559,1579927,929252
Alabama,3266740,390403,367858,350291,279481,207634,194879,204749,208167,195391,190352,167409,140361,108618,100021,73769,49050,24103,14204
Alaska,226167,34193,26589,19521,17199,23523,20594,19078,17773,14208,11002,7955,5721,3425,2237,1508,924,430,287
Arizona,1302161,166966,152269,133561,100676,86113,83494,86384,91051,81978,74502,62071,51391,41480,37570,26064,15275,7224,4092
Arkansas,1786272,194443,188113,187103,151155,99852,91647,97935,104028,104722,106730,100551,91240,74381,72719,54802,37082,18701,11068
California,15717204,1745799,1600152,1417744,1096022,983660,1016083,1114137,1205361,1072637,972021,821270,706922,589192,512551,398164,257047,132039,76403
Colorado,1753947,209108,193204,166746,130726,112197,112678,119175,121999,110016,99165,85776,72875,62122,56249,44482,30597,16624,10208
Connecticut,2535234,278288,247775,221211,170411,135131,150397,175823,191729,187340,168134,140770,120597,105013,92837,70086,42831,22774,14087
Delaware,446292,55407,47883,40278,30199,27004,29845,32475,33789,30667,26125,22455,18722,15698,13423,10082,6563,3579,2098
District of Columbia,763956,78095,63350,52227,49382,59769,55198,54253,55359,51224,51512,48440,41558,34446,27211,19173,12109,6529,4121
Florida,4951560,541101,490530,435183,337487,296177,298238,327730,339125,313538,293620,263159,241086,221457,224479,164810,95768,43984,24088
Georgia,3943116,471901,440198,411650,331554,271211,251770,256351,260063,244981,229397,196204,161507,125668,113144,81647,53314,26770,15786
Hawaii,632772,80962,72778,64018,54821,50606,44553,48936,49245,40358,33485,26065,22012,15771,10959,8688,5090,2845,1580
Idaho,667191,82172,78656,70621,55188,39146,37211,39883,42010,41529,38870,33503,27332,22812,20847,16870,11405,5899,3237
Illinois,10081158,1130246,1002802,868370,686563,581748,608892,679502,709164,676271,643632,572020,513756,433269,373445,281978,176979,90454,52067
Indiana,4662498,542950,499393,439225,345357,283416,283637,310244,319223,290770,270289,238405,212249,181821,159387,126296,86668,45700,27468
Iowa,2757537,307214,291819,258819,202940,155335,151804,165052,170193,164912,157392,145111,134918,124343,114360,91308,63709,35875,22433
Kansas,2178611,246122,228159,198031,157370,132552,130785,139381,144068,130286,122993,113974,103026,91595,82309,67405,47040,27020,16495
Kentucky,3038156,342496,325711,311550,253729,193143,175470,187624,194839,178903,171759,153727,139294,117588,106023,82280,56524,29860,17636
Louisiana,3257022,422723,387893,337376,261762,205327,198120,210270,209329,190386,181474,162156,140037,108578,94558,66667,44448,21972,13946
Maine,969265,108713,98918,93347,75089,58310,56165,59674,61348,57612,54473,51339,45982,41751,36808,29366,20738,11887,7745
Maryland,3100689,366520,331611,294442,225810,188680,196214,224950,242113,216481,189123,158067,132532,107607,88252,63981,40692,21098,12516
Massachusetts,5148578,548457,487905,444471,361938,294149,297759,334486,355186,342584,319160,289968,262545,238361,210912,162348,105258,57540,35551
Michigan,7823194,969147,879099,743550,564128,447133,473788,538862,555598,508775,461197,398299,352587,292847,250916,184085,113279,57065,32839
Minnesota,3413864,416005,380650,324710,251352,194883,193160,206487,211163,204868,194149,176190,159840,146056,131315,102086,65360,34715,20875
Mississippi,2178141,278412,260001,241857,196694,134760,115778,120423,121290,117448,119755,109657,95831,76206,72315,52209,36005,17911,11589
Missouri,4319813,465761,422005,377202,308322,252329,248323,265805,278080,262866,262030,248605,228704,196370,178223,141648,98273,53039,32228
Montana,674767,83102,77048,67042,50767,39578,38882,41729,42773,43202,39939,33335,28492,23458,22797,20199,12943,6146,3335
Nebraska,1411330,160207,147411,128207,100283,82974,82625,86819,87839,82804,79694,75736,68833,63742,58474,46675,31469,17074,10464
Nevada,285278,33060,28777,25406,19196,18626,19498,20724,22210,21139,19743,16011,13040,9675,7496,5142,3144,1589,802
New Hampshire,606921,66120,59945,56444,44360,34671,34488,37778,40204,38479,36172,33234,29907,27414,24355,18627,12630,7306,4787
New Jersey,6066782,642197,582212,524380,396363,321054,362373,435080,472429,446139,406721,350531,304112,262777,222457,163149,97800,49032,27976
New Mexico,951023,136160,121067,103462,76236,67887,66538,65874,64088,54873,48432,39093,32123,23920,20211,14737,9100,4390,2832
New York,16782304,1691000,1531154,1404917,1093562,934360,1024053,1163631,1213166,1147097,1116622,1033974,932722,808456,671800,490355,294245,147269,83921
North Carolina,4556155,526466,508059,486582,408133,317612,292897,306281,310935,282006,260180,219314,182614,142909,122248,88206,56935,28343,16435
North Dakota,632446,79543,73571,64571,51930,38097,35932,37362,36293,36615,35909,32321,27854,23857,20826,17018,11499,5915,3333
Ohio,9706397,1139400,1034319,904817,676021,571275,592071,668329,694943,632579,574899,503766,438547,378307,331597,254271,168808,89848,52600
Oklahoma,2328284,242747,234499,220473,184053,145177,136624,142703,149163,138831,138596,130551,117881,98155,88339,69046,48231,26617,16598
Oregon,1768687,185454,188225,171610,130131,96452,95646,107932,118527,116883,114227,99601,85442,74904,66994,53562,34870,18165,10062
Pennsylvania,11319366,1187954,1101757,1005379,799536,615299,645577,767640,822350,793136,739288,651051,568854,493020,430525,325541,205874,105840,60745
Rhode Island,859488,89771,80227,73830,63207,54152,47304,57414,62418,57609,53889,48072,43438,38617,33730,25715,16276,8696,5123
South Carolina,2382594,294913,286285,268930,228819,166802,147357,149510,157596,142422,129507,105885,86583,67386,60661,42768,26785,12942,7443
South Dakota,680514,83127,77911,67444,52065,39165,37823,40578,40842,39414,36883,33701,31220,28828,26091,21020,13443,6912,4047
Tennessee,3567089,393674,375551,358795,296957,229035,218565,230312,239027,220553,212571,190038,162464,130686,115146,86915,58785,30042,17973
Texas,9579677,1162019,1074511,935704,746429,625658,624622,651444,650349,572546,552978,486297,420154,331575,282797,210552,137174,71643,43225
Utah,890627,126209,113496,94587,76216,60530,57011,55731,54535,50198,44718,38458,32160,26821,22158,17232,11436,5880,3251
Vermont,389881,43873,40732,37996,31717,22413,21043,22903,23882,23131,22225,20938,18748,16539,14972,11987,8521,5068,3193
Virginia,3966949,458260,422588,387818,324407,284758,257127,274494,290914,260871,232466,193343,161673,129260,110198,80980,53043,28052,16697
Washington,2853214,315633,301051,275510,208575,173804,166376,179899,198495,189191,176071,150495,129003,110066,98659,80938,54887,28648,15913
West Virginia,1860421,196295,199876,202307,156454,105182,100091,116658,122531,116204,112171,99460,86779,73897,62789,48667,33783,17402,9875
Wisconsin,3951777,469505,428267,371331,283877,222831,227178,245974,251560,242816,233804,211048,190963,169887,149523,116245,75137,39175,22656
Wyoming,330066,40608,37920,32846,24594,19581,20941,22718,22747,20754,19439,16555,13634,11821,9997,7583,4713,2296,1319
