State,Total,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85+
Illinois,11113976,936950,1098592,1134688,1011062,843644,747420,636444,608497,660435,669810,626744,568193,477843,377859,294427,213494,126693,81181
Indiana,5193669,455676,529024,545903,502240,414724,345862,293609,279465,302934,304536,274321,243982,207584,166493,132230,96013,59152,39921
Iowa,2824376,233212,280101,293440,273475,203691,167505,147263,141941,154955,158126,152726,140549,127099,107701,92860,72103,45987,31642
Kansas,2246578,175049,212731,227198,217212,188422,139029,118237,117770,126002,128308,118864,110211,101344,84089,70329,53369,34515,23899
Kentucky,3218706,271099,317243,333392,318756,265282,204197,176793,169601,180739,182300,166753,155644,139479,116516,90591,64442,39291,26588
Louisiana,3641306,348323,397447,410669,375958,299309,233630,198964,190663,202883,195928,177193,161508,142124,117338,82383,53805,30826,22355
Maine,992048,84622,99402,101957,93361,75030,58502,51208,52497,56530,56602,53118,49095,45532,37699,30988,22139,13932,9834
Maryland,3922399,344267,404492,409928,356139,325455,286425,238005,227724,244163,248154,215739,178469,143757,109717,82277,54536,32014,21138
Massachusetts,5689170,470066,542364,555393,514556,464405,371597,295250,296823,330859,342577,326180,290128,252787,207483,173528,126527,77197,51450
Michigan,8875083,804463,923818,979265,872624,702742,593598,488765,474072,528250,529221,477787,411253,336270,263577,203045,146559,85291,54483
Minnesota,3804971,331771,402635,415021,373405,292037,249516,206769,192863,202710,202904,193956,177011,155454,130155,110251,83443,51330,33740
Mississippi,2216912,209606,237772,252427,232971,173332,128157,114489,108644,114953,111661,107778,104786,98016,82894,58510,39972,23627,17317
Missouri,4676501,371072,448601,470754,429653,354697,298326,251998,246844,262970,268794,249340,239820,222976,187930,149262,109410,68184,45870
Montana,694409,57054,72258,78618,70346,51522,42202,37677,36263,38735,38662,39175,34726,28435,22028,16798,13880,9814,6216
Nebraska,1483493,120222,147228,152969,143175,114687,89053,77931,77774,81307,81002,75961,71788,66870,56360,48861,38038,23926,16341
Nevada,488738,43844,50652,49560,40185,39075,37482,34120,31396,31087,30818,28004,23671,17876,12813,8278,5166,2824,1887
New Hampshire,737681,65356,74921,73999,67264,58522,48435,40835,39735,41701,42006,39310,35325,31860,26042,21541,15284,9102,6443
New Jersey,7168164,589226,692648,710409,611831,509198,463164,403475,413929,465492,477978,439103,380677,314045,245757,194112,132467,76743,47910
New Mexico,1016000,96659,119216,122820,105164,82695,65157,59569,58415,57649,54536,47234,41728,34547,26288,18700,12926,7681,5016
New York,18236967,1486743,1679035,1711644,1563179,1382376,1226209,1038364,1027539,1124953,1136133,1058256,979622,862162,696906,547527,369801,212615,133903
North Carolina,5082059,437145,494799,520719,519514,464072,346705,297201,288075,301012,295832,266216,237113,199536,156486,112056,74380,42549,28649
North Dakota,617761,51338,64220,70334,64769,48767,34603,30849,31371,32827,31868,32079,30923,27445,21753,17411,13020,8516,5668
Ohio,10652017,921030,1059474,1127185,1012221,833369,691686,600136,579345,643596,654799,590280,512314,428888,335931,268649,196484,118506,78124
Oklahoma,2559229,197269,237875,253367,241535,207450,162855,139613,138399,144656,147410,134896,131623,122525,103551,79210,57125,35283,24587
Oregon,2091385,164060,194345,211284,203362,162638,138978,115599,107832,117950,124395,118996,110739,94408,75601,60321,44263,27900,18714
Pennsylvania,11793909,926187,1082755,1168554,1075430,852425,705823,609374,626266,741521,776574,738751,658686,559437,441329,348786,246383,144044,91584
Rhode Island,946725,76035,85874,88289,85680,87963,59319,47276,47465,56237,59557,55598,50268,43232,35251,28665,20268,12030,7718
South Carolina,2590516,235764,269242,282703,280881,238202,174904,145341,141520,144480,146165,130954,114088,95312,74257,50967,33745,19041,12950
South Dakota,665507,54258,68635,74505,69989,48646,35367,31705,32959,35862,36295,35141,32405,29256,25208,21629,16440,10498,6709
Tennessee,3923687,324733,376310,395738,377954,321177,263668,227573,217979,228601,228993,210073,194376,172587,139251,102915,70849,42048,28862
Texas,11196730,1000509,1145250,1182709,1092752,958507,762641,644455,627844,649741,630966,552532,510476,446289,362043,265715,182270,108356,73675
Utah,1059273,111798,117179,123572,116607,97859,72167,57794,53558,53990,52511,48472,41226,34979,27020,21155,14526,8863,5997
Vermont,444330,39658,45905,45652,44397,36009,28924,23748,22713,23969,23770,22523,20599,18975,15657,12713,9176,5727,4215
Virginia,4648494,392093,456958,474282,440872,439818,335045,280402,269296,280666,282485,247903,210620,172033,134140,99014,66687,39435,26745
Washington,3409169,280442,328397,348892,329903,295964,238704,193398,181020,192828,203880,188774,166878,138028,107008,84335,62654,40345,27719
West Virginia,1744237,138249,158638,176871,172386,128653,98212,90105,89620,105290,108453,102313,96269,84704,68064,52859,36547,21991,15013
Wisconsin,4417731,382227,461184,474178,433153,337098,272746,233701,226021,244225,243723,232208,215918,188484,155811,128259,94220,56987,37588
Wyoming,332416,28372,33857,36565,33229,24807,21498,18630,18457,19837,19338,17899,16197,13526,10168,8131,6073,3630,2202
