State,Total,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85+
United States,203211926,17154337,19956247,20789468,19070348,16371021,13476993,11430436,11106851,11980954,12115939,11104018,9973028,8616784,6991625,5443831,3834834,2284311,1510901
Alabama,3444165,301031,347305,371822,341751,274544,216947,191048,186422,196519,193353,179620,168516,149326,122154,85750,58743,34896,24418
Alaska,300382,32075,36709,34248,26768,35576,26711,22588,20561,17460,15132,11807,8550,5310,3131,1573,923,585,675
Arizona,1770900,158675,185514,193342,171368,146555,116393,100450,96767,98556,99911,89962,79678,72255,61827,45913,29140,15093,9501
Arkansas,1923295,158050,186652,196133,182192,143039,115788,98984,95981,101720,104391,103621,101588,97396,84407,62208,45721,26615,18809
California,19953134,1642683,1918127,1963681,1817379,1740966,1457614,1219389,1149999,1208550,1245903,1083852,933244,770770,620805,484431,342097,210953,142691
Colorado,2207259,186368,224171,233679,217451,204508,157420,133784,127116,128508,124905,109295,93164,78999,62076,49366,36860,23347,16242
Connecticut,3031709,253262,295966,304211,264053,229794,206011,168754,167428,188519,196352,185339,157029,126083,96959,77851,57158,34518,22422
Delaware,548104,48472,57682,59228,51332,43785,38193,32247,32225,33307,33549,29873,24396,19982,15202,11980,8316,4982,3353
District of Columbia,756510,59735,64222,64424,65609,79638,64900,47625,42337,42637,43298,40378,37994,32910,25301,19548,12859,7540,5555
Florida,6789443,501179,605714,643014,576776,496517,403096,358665,355412,391455,394440,367547,347337,358925,357543,289138,188218,96898,57569
Georgia,4589575,421709,470311,480924,442571,416949,330790,273995,256934,260140,252278,232825,207126,175565,137744,97362,65941,39285,27126
Hawaii,768561,70811,79836,79812,71843,81555,59459,47633,46685,48844,46199,38053,30343,23372,17658,11831,7021,4593,3013
Idaho,712567,63840,72961,79497,74065,53326,44360,38609,36789,38144,39158,38696,35159,30187,22644,17592,13353,8513,5674
