State,Total,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85+
United States,226545805,16348254,16699956,18242129,21168124,21318704,19520919,17560920,13965302,11669408,11089755,11710032,11615254,10087621,8782481,6798124,4793722,2935033,2240067
Alabama,3893888,296412,314150,328096,377406,361187,315460,283292,228920,200794,191929,197066,190062,169099,156295,122087,82626,44988,34019
Alaska,401851,38949,35043,34282,37154,45090,48645,42163,31316,22706,18404,15839,12617,8096,5206,3106,1845,771,619
Arizona,2718215,213883,211067,219573,252017,263783,236051,207764,162873,135115,125071,126749,132507,124400,114844,87276,55485,29879,19878
Arkansas,2286435,175592,180365,185491,214322,193769,174313,161024,133636,113779,107324,110435,113577,110331,106299,86148,60428,33248,26354
California,23667902,1708400,1650348,1796019,2130465,2355965,2232964,2010051,1552444,1262494,1164134,1195800,1202140,992428,839247,631731,448406,276849,218017
Colorado,2889964,216495,213135,226147,268588,302606,302601,266944,193509,153444,137882,132978,125711,102599,84108,64558,44924,29372,24363
Connecticut,3107576,185188,205758,256283,288383,272382,249260,241873,204479,164823,161649,177252,178712,156670,126415,93302,66081,43337,35729
Delaware,594338,41151,42076,48870,59748,58123,49622,45414,37100,31168,30959,32251,31847,26830,21218,15412,10507,6773,5269
District of Columbia,638333,34365,36618,42133,57624,69563,66343,56209,41450,32815,30204,33137,34093,29492,26382,19848,13436,8236,6385
Florida,9746324,570224,621534,685016,811340,811427,739848,671563,554240,484538,471279,517881,555209,564652,579012,480141,329211,181867,117342
Georgia,5463105,414935,446831,469598,530773,516084,481276,448765,356263,291069,266793,261211,246907,215869,188897,141977,93763,52660,39434
Hawaii,964691,77848,73057,74870,86446,105682,95287,84314,63948,47468,45240,49204,47383,37794,29153,20222,13673,7541,5561
Idaho,943935,93531,82734,79218,87982,86234,82461,72941,57644,46682,40973,40476,41182,38197,33040,25252,16664,10248,8476
Illinois,11426518,842241,849613,919385,1066995,1073008,985619,869244,700599,593096,559129,602312,593160,510232,432764,328719,236701,149019,114682
Indiana,5490224,418764,433053,454828,529628,518661,462851,411557,332036,281547,266812,283300,278021,233782,197805,152654,110419,70096,54410
Iowa,2913808,221628,211041,231700,277633,272024,243200,205954,161246,141451,135520,145902,145854,133071,117905,96949,75104,52686,44940
Kansas,2363679,180877,169015,175363,217721,232788,202671,171947,135209,114431,112515,118914,119932,106033,94208,79203,59399,39998,33455
