State,Total,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85+
Kentucky,3660777,282731,289411,301745,354439,346119,309338,276288,217968,186552,174422,179830,178333,153773,138938,110050,78771,47033,35036
Louisiana,4205900,361533,345966,371795,426157,420276,368732,312027,244245,205974,193171,200735,189278,161732,143592,111309,76653,42190,30535
Maine,1124660,78514,84179,94277,107412,98438,92242,86557,66954,55771,54724,57297,56566,50811,45122,37166,26956,17575,14099
Maryland,4216975,272274,292916,356578,405011,392391,371136,354443,291194,235873,218899,227589,222682,180380,142288,104921,71837,43898,32665
Massachusetts,5737037,337215,374734,461332,548239,552902,489175,446395,348552,278748,278261,306574,310995,277384,235574,187041,137828,92180,73908
Michigan,9262078,685113,727120,801874,901277,894430,806918,708369,564427,464572,445514,485417,471411,393378,319381,237129,169213,104882,81653
Minnesota,4075970,307249,296295,333378,399818,393566,363435,313104,246356,202860,187051,193199,189457,170638,149114,121034,92738,63889,52789
Mississippi,2520638,215279,219048,226276,258878,233505,197129,172410,138089,122416,113662,118157,112768,103664,99536,80413,55281,30618,23509
Missouri,4916686,354144,355426,382168,461336,445442,398398,354339,291743,248823,242875,253677,254957,225232,207946,173114,127288,78706,61072
Montana,786690,64455,60238,62539,74622,74018,71516,61409,48045,40374,36314,37363,36557,34681,29609,21919,14922,9272,8837
Nebraska,1569825,122946,118045,120907,147249,148734,134794,114407,88424,75350,73797,76856,75104,67528,61481,52540,39987,27932,23744
Nevada,800493,56132,55689,61744,70162,77442,75951,69197,57116,48195,42852,42558,42116,35583,27980,18018,10776,5342,3640
New Hampshire,920610,62512,67997,76763,87776,83624,79468,77928,60091,46937,44295,45826,44749,39677,34366,27422,19241,12288,9650
New Jersey,7364823,463289,508447,605841,670665,614828,574135,563758,479749,400074,394038,432520,430048,367660,303670,227037,157921,98912,72231
New Mexico,1302894,114731,109615,114101,132306,125428,115344,101303,78236,66702,61811,60232,58424,48755,43075,31657,20921,11470,8783
New York,17558072,1135925,1184879,1406060,1598571,1519946,1428376,1351839,1106907,936312,911511,996602,979370,841007,724522,567906,413557,261799,192983
North Carolina,5881766,404076,447688,482228,566322,579512,502579,461169,368492,314142,296939,304396,295910,255132,222696,164891,109126,61265,45203
North Dakota,652717,54752,49016,51043,63977,69393,58470,45687,34248,29398,28631,30497,29218,27942,25930,21217,15301,9857,8140
Ohio,10797630,787150,821480,886625,1007679,1004919,907679,815697,640594,559229,538718,587889,581948,488563,400761,305793,216318,138162,108426
Oklahoma,3025290,233307,229573,230675,278987,284242,252745,222829,182315,154905,148544,150186,150228,130628,122727,102006,73625,43787,33981
Oregon,2633105,198046,189329,202503,225868,237860,253530,227623,170660,133136,119286,124319,129919,117690,105183,79371,55342,35009,28431
Pennsylvania,11863895,747458,805151,931891,1080610,1059815,945051,847847,682283,591789,600257,695755,712074,632981,537045,407020,282000,174908,129960
Rhode Island,947154,56692,61465,74170,89773,90231,76215,69820,54393,44470,44708,53096,55748,49451,42414,33148,23891,15491,11978
South Carolina,3121820,238516,253643,266179,317234,313738,273137,243604,192166,158339,150057,149126,149937,128816,110235,79292,50457,27340,20004
South Dakota,690768,58446,52871,54400,68641,66553,56868,45959,35251,31181,31399,33569,33567,31044,27640,22875,17699,12378,10427
Tennessee,4591120,326088,349928,369940,430253,423413,387987,356636,287670,246171,231276,234090,230307,199773,180932,142095,97293,55825,41443
Texas,14229191,1169061,1169889,1179988,1352355,1420358,1302054,1124483,880229,723002,681391,680275,643396,531549,476110,371155,261280,150594,112022
Utah,1461037,189962,146187,125681,138903,155676,135087,105688,79178,63628,57021,55845,52701,46260,38183,29637,20242,12306,8852
Vermont,511456,35998,37855,42650,51287,48637,44845,42325,32371,25023,23618,24156,23502,21023,18580,15193,11212,7174,6007
Virginia,5346818,360686,387524,431051,505674,530968,477912,449952,366110,296775,271560,274347,267889,221066,182975,135321,91476,54401,41131
Washington,4132156,306123,296011,321995,369023,400542,389997,354645,273382,213832,193473,198548,203986,179037,151324,112023,77409,49330,41476
West Virginia,1949644,145583,152802,157489,174204,172688,160954,144649,109878,97541,93307,104805,105219,92657,82953,64345,44272,26889,19409
Wisconsin,4705767,346940,344804,392247,466612,450026,401915,348115,271661,230312,219866,233079,229046,206947,184722,145693,107568,70577,55637
Wyoming,469557,44845,39297,37124,42579,50668,49335,39400,29413,23582,20690,20915,18930,15604,13079,9788,6649,4186,3473
